Timestamp	Coder	id	Title	Level of disruption, Business damaging	Level of disruption, Government or authority	Level of disruption, Public everyday	Level of disruption, Public damaging	Level of disruption, Culture or sport	Clarity, Number of Protesters	Number of protesters	Nature of disruption	Issue bundling	Portrayal
9/17/2025 10:46:07	Asger	BBC_2020-09-04_Extinction-Rebellion-More_original.html	Extinction Rebellion: More than 300 arrested at London climate protests	None at all	None at all	A moderate amount	None at all	None at all	Enough information to inform a fairly confident judgement	301-1000	Blockade, Protesters physically attached to or on top of something	No other issues	Neutral (e.g. simply reporting on the disruption, protesters, or message)
9/17/2025 11:09:01	Asger	BBC_2021-06-01_Hamble-BP-oil_original.html	Hamble BP oil terminal entrance blocked by protesters	A lot	None at all	A moderate amount	None at all	None at all	Enough information to inform a fairly confident judgement	4-10	Blockade, Protesters physically attached to or on top of something	No other issues	Somewhat sympathetic (e.g. quoting positive reactions, supporting the message with facts)
9/17/2025 11:14:06	Asger	BBC_2021-06-16_Euro-2020-_original.html	Euro 2020 - France 1-0 Germany: Several in hospital after parachute protest	None at all	None at all	None at all	None at all	A moderate amount	Clear information that informs a full judgement	1	Interrupting an event or speech	No other issues	Neutral (e.g. simply reporting on the disruption, protesters, or message)
9/17/2025 11:18:16	Asger	BBC_2021-07-16_Extinction-Rebellion-protesters_original.html	Extinction Rebellion protesters guilty of obstructing highway	A great deal	None at all	A little	None at all	None at all	A moderate amount of information that informs a reasonable judgement	31-100	Blockade, Protesters physically attached to or on top of something	No other issues	Somewhat hostile (e.g. quoting only negative reactions)
9/17/2025 11:36:41	Asger	BBC_2021-08-23_Extinction-Rebellion-erects_original.html	Extinction Rebellion erects table in Covent Garden	None at all	None at all	A moderate amount	None at all	A little	A small amount of information that informs a very rough judgement	11-30	Blockade, Protesters physically attached to or on top of something	No other issues	Somewhat sympathetic (e.g. quoting positive reactions, supporting the message with facts)
9/17/2025 11:41:46	Asger	BBC_2021-09-24_Extinction-Rebellion-Paralympian_original.html	Extinction Rebellion: Paralympian James Brown jailed for plane glue stunt	A moderate amount	None at all	None at all	A little	A little	A moderate amount of information that informs a reasonable judgement	11-30	Blockade, Protesters physically attached to or on top of something	No other issues	Somewhat hostile (e.g. quoting only negative reactions)
9/17/2025 11:47:29	Asger	BBC_2021-09-27_Insulate-Britain-M25_original.html	Insulate Britain: M25 targeted near Heathrow as activists stage protest	None at all	None at all	A little	A great deal	None at all	A moderate amount of information that informs a reasonable judgement	31-100	Blockade	No other issues	Neutral (e.g. simply reporting on the disruption, protesters, or message)
9/17/2025 11:54:20	Asger	BBC_2021-10-28_COP26-protesters-planning_original.html	COP26 protesters planning high-impact disruption	None at all	None at all	None at all	None at all	None at all	A moderate amount of information that informs a reasonable judgement	More than 1000	None of the above	No other issues	Somewhat sympathetic (e.g. quoting positive reactions, supporting the message with facts)
9/17/2025 11:57:34	Asger	BBC_2021-11-15_Drax-train-protester_original.html	Drax train protester released on bail	None at all	None at all	None at all	None at all	None at all	Clear information that informs a full judgement	1	Protesters physically attached to or on top of something	No other issues	Neutral (e.g. simply reporting on the disruption, protesters, or message)
9/17/2025 12:01:02	Asger	BBC_2021-11-18_Extinction-Rebellion-Summer_original.html	Extinction Rebellion: Summer protests cost Met £18m to police	None at all	A lot	A little	None at all	None at all	A small amount of information that informs a very rough judgement	More than 1000	Blockade, Protesters physically attached to or on top of something	No other issues	Somewhat hostile (e.g. quoting only negative reactions)
9/17/2025 12:24:23	Asger	BBC_2022-04-14_What-is-Extinction_original.html	What is Extinction Rebellion and what does it want?	None at all	A moderate amount	A little	None at all	None at all	A small amount of information that informs a very rough judgement	More than 1000	Blockade, Protesters physically attached to or on top of something	No other issues	Somewhat sympathetic (e.g. quoting positive reactions, supporting the message with facts)
